text,label
"""The best petting zoo and animals hands down!""",EVENT
Katie G. Petting Farm,NON-EVENT
"Lucky Ladd Farms is home to the largest petting farm attraction of it's kind in Tennessee featuring hundreds of friendly farm animals and exotic livestock. You will learn about a variety of domesticated farm animals and enjoy unique live animal encounters. Our interactive approach is fun for young and young-of-heart alike! Get up-close and personal to pet, snap selfies, love and hug our sweet animals in Lucky's Barnyard Petting Zoo featuring the friendliest sheep and goats around. In the Lucky's Barnyard area you'll also see cows, llamas, alpacas, horses, donkeys, chickens, turkey, pea-fowl, rabbits and more! Trips through the Barnyard and to the petting farm are included with admission. However, guests may enhance their experience with purchases of a souvenir cup of animal feed and lettuce treats. Be sure to review our tips below on how to have ""Safe Interactions with Animals"" and hand-washing.",EVENT
"Optional Add-On Activity Fee: Animal feed is $6 per souvenir cup, with $4 refills. Lettuce treats are $2 each. To see a full list of animal species found at Lucky Ladd Farms please visit our Zoo & Wildlife page . Pony Rides Optional Add-on Activity Fee: $6.00 Per Ride",NON-EVENT
"Let your little one enjoy this classic recreational entertainment that children have loved for years and helps keep our equine in tip-top shape. Over 20 miniature horses, donkeys, and ponies are proud to call Lucky Ladd Farms their home; and they're eagerly waiting for your doting affection. So let's get saddled up for ride that's sure to be a highlight in your child's day!",EVENT
Children are safely led around a pony carousel in a fenced enclosure by a trained attendant. Parents may be asked to assist children depending on their size and abilities. Ride Restrictions Riders must be under 4' tall and weigh less than 75-lbs. Attraction operates on timed schedule. Attraction is weather dependent.,NON-EVENT
"SAFE INTERACTIONS WITH ANIMALS Healthy animals and bugs may naturally carry diseases that can make you sick. These are known as zoonotic diseases. While this list is not all inclusive, some of the most common zoonotic diseases and their carriers include:",EVENT
"Lyme disease and Rocky Mountain spotted fever, which you can get from a tick bite. West Nile virus, which you can get from a mosquito bite. Salmonella infection, which you can get after handling a baby chick, chicken, bird, duck, frog, turtle, or snake. E. coli and Lysteria infections, which you can catch if you touch almost any type of living animal, but are most often associated with cows, sheep, and goats.",NON-EVENT
"Bites and direct contact with animals are not the only way diseases get transmitted. You can also accidentally come into contact with germs by touching surfaces in or around a petting zoo, animal living quarters, or any other area where animals or their feces have been in contact. These types of germs most often are shed in an animals feces and then people become sick by accidentally consuming them by putting fingers or other objects in their mouths.",EVENT
"Thankfully, there are things you can do to help protect yourself, your children, and others from contracting a zoonotic diseases. Closely supervise children in animal areas. Avoid putting things in your mouth when in or around animal areas. No food, drinks, baby bottles, pacifiers, toys, or strollers should be in animal areas.",NON-EVENT
Wash your hands for at least 20 seconds after being around animals or animal areas.,EVENT
"Hand-washing sinks are located at the entrance/exit-ways of Lucky's Barnyard and at nearby restroom facilities. Additionally, hand-sanitizing stations can be located throughout the facility. Hand sanitizer should only be used as a supplement to preventative measures until you can wash with soap and water, as sanitizer does not effectively remove all dirt and debris from hands.",NON-EVENT
"Properly sanitize any personal belongings such as shoes, strollers and clothing to kill germs that might have been transferred through contact with animals, their bedding, or surroundings.",EVENT
"Protect yourself from bug bites by using repellent on skin not covered by clothes or shoes. Check for ticks after you've been outdoors. It's important to remember that anyone can become sick from a zoonotic disease, including healthy people. However, some people may be more at risk than others and should take steps to protect themselves or family members. These people are more likely than others to get really sick, and even die from infection with certain diseases. These groups of people include: Children younger than 5 Adults older than 65 Pregnant women People with weakened immune systems",NON-EVENT
PETTING FARM & ZOO. PONY RIDES. FAMILY FUN PARK. NATURE & WILDLIFE TRAILS. FARMtastic EVENTS. TULIPS. STRAWBERRIES. SUNFLOWERS. PUMPKINS. LIVESTOCK PRODUCER.,EVENT
Lucky Ladd Farms,NON-EVENT
4306 Rocky Glade Rd,EVENT
"Eagleville, TN 37060",NON-EVENT
(615) 274-3786,EVENT
| Email Us Hours of Operation: Admission ends 1-hour prior to closing. Join Mailing List: Be the first to know! Receive information about upcoming events and exclusive offers! Quicklinks: Ticket Pricing Group Rates Farm Attractions Ask Question Join Our Team Request Donation Notifications regarding weather related closings are posted on our information hotline and Facebook page as they occur. We encourage you to check before you come if it has recently rained or if rain is forecast for our area. Buy tickets online in advance. Ticket availability is not guaranteed at the gate.,NON-EVENT
"© 2025 Lucky Ladd Farms, Inc.",EVENT
Liability Warnings | Privacy Policy Petting Farm & Zoo | Pony Rides | Family Fun Park | Wildlife Trails | Bakery & Gift Barn Tulip Farm | Strawberry Farm | Sunflower Farm | Pumpkin Patch | Corn Maze,NON-EVENT
Christmas Events,EVENT
PLAN A VISIT Ticket Options Admission Tickets Season Passes Photography Pass Gift Certificates Hours & Directions Dining Festivals & Events Farm Field Experiences Pick-Your-Own Tulip Flower Farm Strawberry Patch Pick-Your-Own Sunflower Farm Pumpkin Patch Livestock Sales Attractions Fun Park Attractions,NON-EVENT
Zoo Animals & Wildlife,EVENT
Petting Farm Pony Rides Keeper Talks,NON-EVENT
Cedar Glade Nature Trails,EVENT
Butterfly House Corn Maze Shopping Gift Barn Bakery Helpful Information FAQ's Farm Manners TN Liability Disclosures Educational Programs Guided Field Trips Self-Guided Field Trips Homeschool Day Field Trips Zoo To You - Outreach Host Your Event,NON-EVENT
Host a Party,EVENT
Rent a Pavilion Company Picnics Client Appreciation Day,NON-EVENT
Summer Camp,EVENT
Scout Programs THINGS TO DO,NON-EVENT
"Petting Farm, Wildlife, & Zoo Animals",EVENT
Lucky's Barnyard Petting Farm,NON-EVENT
Zoo & Wildlife Exhibits,EVENT
Pony rides Animal Encounter Experiences Animal Keeper Talks,NON-EVENT
Classroom Outreach Mobile Program,EVENT
Farm Park Attractions Fun Park Activities Cedar Glade Trails Corn Maze Authentic Farm Experiences You-Pick Tulips Strawberry Patch You-Pick Sunflowers Pumpkin Patch Livestock Sales,NON-EVENT
Christmas Events,EVENT
"Holly Jolly Festival of Lights Cookies & Cocoa with Santa Shopping Gift Barn Bakery Makers Market & Kids Market View List of Upcoming Festivals, Events, and Experiences... MORE",NON-EVENT
Adult Tours Summer Camp,EVENT
Scout Programs Plan Your Event Parties Pavilion Rentals Company & Group Picnics Client Appreciation Days Field Trips Guided Groups Self-Guided Groups Homeschool Days,NON-EVENT
Classroom Outreach Mobile Program,EVENT
PLAN A VISIT Ticket Options Admission Tickets Season Passes Photography Pass Gift Certificates Hours & Directions Dining Festivals & Events Helpful Information FAQ's Manners & Policies TN Liability Disclosures Host Your Event,NON-EVENT
Host a Party,EVENT
Rent a Pavilion Company Picnics Client Appreciation Day,NON-EVENT
Summer Camp,EVENT
Scout Programs THINGS TO DO Festivals & Events Farm Field Experiences Pick-Your-Own Tulip Flower Farm Strawberry Patch Pick-Your-Own Sunflower Farm Pumpkin Patch Livestock Sales Attractions Fun Park Attractions,NON-EVENT
Zoo Animals & Wildlife,EVENT
Petting Farm Pony Rides Animal Encounter Experiences Keeper Talks,NON-EVENT
Cedar Glade Nature Trails,EVENT
"Butterfly House Corn Maze Holly Jolly Festival of Lights Cookies & Cocoa with Santa Shopping Gift Barn Bakery Makers Market & Kids Market Educational Programs Guided Field Trips Self-Guided Field Trips Homeschool Day Field Trips Zoo To You - Outreach CONTACT US Ask a Question Join Our Team Request Donation BUY TICKETS PHOTOGRAPHY PASS A Partnership to  Grow Our Businesses Together ""Perfect golden hour shoot in the sunflowers!"" Tammy S. Ready to Capture Amazing Moments? Lucky Ladd Farms provides a picturesque and fun backdrop for professional, amateur, and smartphone photographers alike. All creatives are welcome, but some will need to purchase a Photography Pass for professional shoots. WHAT IS CONSIDERED PROFESSIONAL PHOTOGRAPHY?",NON-EVENT
"A professional photographer is anyone photographing or filming people, animals, or nature on our farm and receiving any type of compensation, such as money, trades, goods, services, or other like-kind considerations in return.",EVENT
"As a professional, we love the opportunity of having you and your clients make beautiful memories at our farm and in our fields. We look forward to working with you to create a positive and successful experience for all. Please be aware our farm is open to everyone and we do not have a dedicated areas for professional photo shoots. Therefore it is important that you set the appropriate expectations with your clients, notifying them in advance, that there is a possibility other people may be in the backgrounds of their pictures, especially during popular dates and times. We offer one-day and full season photography passes. Both Photography Passes cover your personal admission when you have a scheduled shoot(s); site usage fees; and allows you the flexibility of rescheduling, and special access to purchase admission tickets for your clients the day of the shoot without having to worry about tickets selling out. WHAT TYPES OF PHOTOGRAPHY SESSIONS CAN I HOST USING MY PHOTOGRAPHY PASS?",NON-EVENT
"Lucky Ladd Farms provides an excellent backdrop location for all types of photo shoots and videography including: family photos; Engagement Photos; Engagement Photos; Senior Photos; Birthday Photos, Lifestyle Photos; Candid Photos; Outdoor Photos; Woodland Photos; Spring Photos; Summer Photos;   Fall Photos; Easter Photos; Tulip Field Photos; Sunflower Photos; Pumpkin Patch Photos; Animal Encounter Photos; Animal Photos; Nature Photos; Scenic and Landscape Photography.",EVENT
"PHOTOGRAPHY ONE-DAY PASS COST: $150 for single day use during normal business hours, or for a single  golden hour sunrise or sunset photography event scheduled by Lucky Ladd Farms. PHOTOGRAPHY SEASON PASS COST: $250 per season with unlimited use during normal business hours, as well as on any golden hour sunrise or sunset events during spring, summer, or fall scheduled by Lucky Ladd Farms. Buy Photography Pass NOTE: You will receive a request to upload your picture to your Photography Pass via email immediately after purchase. Your picture is required to use the pass. You will also receive a confidential link for scheduling session(s) and to purchase client tickets. Professional Photography/Videography Policies PHOTOGRAPHER SITE FEES & ADMISSION Photographers must purchase a non-refundable Photography Pass which allows them to schedule  photo sessions at the farm. This pass covers general admission entry for the photographer when they schedule a shoot. The one-day pass is valid for one single-day use; whereas, the season pass is valid for spring, summer, and fall seasons during the year in which it was purchased in, and allows the opportunity to schedule unlimited sessions during all events that are included with a standard general admission ticket or for a special sunrise/sunset photo event. The solicitation of people at the farm for any services is strictly prohibited. EQUIPMENT, ACCESS, & PROPS Photography and videography equipment including camera(s), bag(s), lenses & tripods are allowed. All equipment must be able to be carried in by hand or wagon provided by photographer as motorized vehicle access is not permitted inside the facility. Props, scenes building, sets, reflectors, light stands, and all other photography equipment etc. are prohibited so as not to interfere with other guest experience. Use of staged props and photography sets provided by the farm is permitted as long as you are considerate of other guests and do not monopolize the area so other guests and photographers may also enjoy use and access too. You may photography any area open to the public but employee only and closed sites are prohibited. Specific policy for drones listed lower on the page. SCHEDULING SESSIONS & CLIENT ADMISSION TICKETS Photo  sessions must be scheduled in advance and may only take place during normal daily hours of operation. Be aware hours of operation vary throughout our season so be sure to verify before booking. Also, be mindful of our closing time the day of your shoot and plan to end your sessions at least 15-minutes prior to our scheduled closing. Select evenings have been set aside for photographers to reserve for",NON-EVENT
"""2025 Golden Hour Sessions."" These dates include: March 30 , April 3, and April 4 -from 6:00 pm to 8:00 pm in the Tulip field; and June 27, June 29, and July 6 -from 6:00 pm to 8:00 pm in the Sunflower field.",EVENT
"After purchasing a Photography Pass, the photographer/videographer will be emailed a confidential link allowing special access to schedule  sessions at the farm and to purchase non-refundable admission tickets for their clients and/or assistants for the day of the scheduled shoot. Tickets on the photographers  link will not sell out. You must agree not to share this link with clients or anyone else, as only you have  permission to use the link. Sharing the link will result in cancellation and forfeiture of both the Photography Pass and any tickets purchased through the link without refund. The benefit of a photographers link is that you now have the option to either require  clients to purchase admission tickets to enter the farm on their own accord, or the you can provide this service for them and arrange an arrival time that works best for you while also guaranteeing your clients admission/entry. Let's examine the difference a little closer... If a photographer has a client purchase tickets for themselves, the client must go through our online public timed-ticketing system which only offers a limited number of tickets for very specific arrival times and is subject to sell out. It is not uncommon for popular dates to sell out days or weeks in advance. It can be risky to put this in the hands of your clients, especially if they are procrastinators. Alternatively, you may choose to purchase admission tickets on behalf of your clients using your assigned photography pass link, which then gives your clients freedom to arrive at a time arranged by you and also ensures your client doesn't run into a sold out ticket situation resulting in them being unable to enter our facility. We suggest building the cost of the admission tickets into your photography package pricing and requiring that portion be paid in full as part of the reservation deposit for their session. This way you have collected ticket fees upfront and aren't having to absorb these costs yourself. Please remember all general admission tickets are non-refundable regardless of the link used to purchase; in addition, tickets provide your clients to access to enjoy the farm park and attractions scheduled to be open on the day of your shoot. Everyone involved in the photo shoot will need an admission ticket to enter the farm. (Children 23 months and younger are free.) Your admission is covered with your Photography Pass. Admission  rates are the same price whether purchased through our public ticketing site or through the photographers confidential link. NOTE: Please allow up to 72-hours processing time to receive an email with your confidential scheduling and client ticketing link. CANCELLATIONS & RESCHEDULING Another benefit of your photographers link is the flexibility to easily reschedule your sessions and client tickets which is not always the case with our public online ticketing system. If purchasing tickets for your clients, then we suggest waiting until the day before your scheduled session to limit the possibility of cancellations and hassle of rescheduling as much as possible. If inclement weather is forecast, then you may consider waiting until the day of the shoot to purchase client tickets but know that tickets must be in our system at least two-hours before your clients are scheduled to arrive. ARRIVAL Photographers/Videographers and their clients should check-in at the Photography Pass line. Look at the overhead signs at admissions to locate the correct one. When using your photographer link, all admission tickets will be purchased under your name, therefore you will need to advise your clients of this so they can let the admissions cashier know how to properly check them in. PAY FOR WHAT YOU PICK Any picked tulips, strawberries, sunflowers, vegetables, etc. must be paid for as they are not included with a Photography Pass,  Admission Ticket, or photo session. It is only fair that everyone be respectful of our own personal hard work and financial investments to grow the crops and create the beautiful scenery that is being enjoyed at the farm. Pay for what is picked, even if it was an accident. We kindly ask you to also advise all everyone involved with the shoot of the u-pick you-pay policy. DO NOT DAMAGE LANDSCAPING OR VEGETATION Do not pick or damage any flowers, natural vegetation or other plant materials in our landscaped areas. Do not walk-through, climb-on or otherwise damage crops in fields, crops in containers, landscaped areas, including trees and flowerbeds. Adequate walking paths have been placed to avoid the need to stand-in or cut-across crops in the field. Remind clients to refrain from kicking/throwing rocks, mulch and sticks. STAY ON PUBLIC PATHWAYS",NON-EVENT
"Fencing, rocks, ropes and other barriers between you and animals or non-public areas of the Farm are there to protect you and guests from harm. Do not enter non-public areas.",EVENT
PUPS IN THE PARK PHOTO SHOOTS,NON-EVENT
"Pups in the Park are the only days dogs, other than trained service animals may visit our facility. They will be offered on a limited basis throughout our season for friendly pooches to enjoy a special outing with their family to the farm. Dogs must remain on a non-retractable leash at all times. For health and safety reasons, dogs are not permitted in animal areas, the strawberry patch, or on the Cedar Glade Trails. Additionally, dogs are not allowed to go in the corn box or on the jumping pad. It is your clients responsibility to ensure their dog is not aggressive towards other people or  animals. As with any public space, dog owners  are responsible for picking up and disposing of any pet waste immediately. Dog owners will be required to sign a waiver upon entry agreeing to take full legal and financial responsibility for their dogs behavior and actions including any injury or damage caused by their dog. There is a $10 admission fee per dog, a portion of which is donated to our local animal rescue. Admission tickets for dogs will be available through our online ticketing system and your photography ticketing link on eligible dates. Pets may not be kept in cars in our parking lots. We reserve the right to have dog owners remove their dogs from the premises for any reason at any time.",EVENT
"DRONES Drones are strictly prohibited from use on the farm property. Should we host a special date/time for drone operators to visit then the event will be placed on our upcoming events list and require a special ticket to be purchased in advance. A Photography Pass will not cover entry to designated Drone Days. FAMILY FRIENDLY Anything photographed or filmed at the farm must be family friendly and cannot contain any suggestive images or profanity. Boudoir or scantly clad sessions are not appropriate for our facility as children may be present. COMMERCIAL FILMING Commercial production for music videos, television and film is not permitted with a Photography Pass. For more information or to schedule your commercial filming or photography shoot, please email fun@luckyladdfarms.com with scope of project and preferred dates. OTHER TIPS FOR A SUCCESSFUL SHOOT If you are scheduling more than one session, we recommend creating a free account with our scheduling platform ""TicketSpice."" You can do this after you purchase your Photography Pass. This will help you manage your appointments and make changes as needed such as rescheduling or purchasing tickets for clients. Clients and assistants cannot enter our facility or fields without their ticket. It is the photographers responsibility to make sure their client(s) have their tickets. Please be polite and respectful to all farm guests (clients or not) at all times. Do not monopolize our staged photo op areas or ask other guests to move from areas they are exploring. If scheduling a shoot later in the day then plan accordingly so that you are finished at least 15-minutes prior to  closing. If arranging for clients to arrive late in the day, then advise them they will have little to no time to explore and participate in park activities and attractions to avoid disappointment. Bring your own baskets for tulip or sunflower sessions. Baskets may be available for you to use but we cannot guarantee that they will be available at the time of your photo shoot. Remember crops are weather dependent and we cannot guarantee availability  at the time of your photo shoot. VISIT AND PLAY AT OWN RISK",NON-EVENT
"Not responsible for injuries or death. There are inherent risks of injury or even death when visiting a farm, around animals, or playing on a playground. Adult supervision required. Please review and share with your clients our full",EVENT
liability disclosures and waivers here.,NON-EVENT
"RESPECT THE ANIMALS Do not allow clients to chase, ride, hit, flail arms at, harass, or tease the animals. Do not allow them throw objects at the animals or into exhibits. Do not make loud sounds that might scare or spook the animals. Anyone found doing any of the above will be asked to leave the Farm.",EVENT
Make sure to properly wash your hands after leaving the animal area. Remind clients to do the same. Have clients provide hand-washing assistance to minors. ANIMAL FEEDING,NON-EVENT
"All Farm Park animals are on a carefully structured diet. Introducing outside food can cause illness and even death to the animal. Approved animal feed is available for purchase from the Farm. Do not feed animals foreign objects. For good health and hygiene always properly supervise children and guests with special needs when interacting with animals. Use a flat hand when feeding the animals. Animals approved for hand-feeding include goats, sheep, ducks, llamas and alpacas. Do NOT feed horses, donkeys, pigs, tortoises, birds, or rabbits from your hand as these animals will bite.",EVENT
Make sure to properly wash your hands after leaving the animal area. Remind clients to do the same. Have clients provide hand-washing assistance to minors. HANDWASHING AND SANITATION,NON-EVENT
Animals and bugs may naturally carry diseases that can make you sick. These are known as zoonotic diseases. Some of the most common zoonotic diseases include:,EVENT
"Lyme disease and Rocky Mountain spotted fever, which you can get from a tick bite. West Nile virus, which you can get from a mosquito bite. Salmonella infection, which you can get after handling a baby chick, chicken, duck, turtle or snake.",NON-EVENT
"E. coli infection, which you can catch if you touch areas in a petting zoo or animal exhibit where some of the animals are infected.",EVENT
"Thankfully, there are things you can do to protect yourself and your children from zoonotic diseases. Closely supervise children in animal areas.",NON-EVENT
Avoid putting things in your mouth in animals areas.,EVENT
"No food, drinks, baby bottles, pacifiers, toys, or strollers should be in animal areas.",NON-EVENT
Always wash your hands for 20 seconds after being around animals.,EVENT
"Hand-washing stations can be found at the entrance/exit-ways of Lucky's Barnyard and at nearby restroom facilities. Additionally, hand-sanitizing stations can be located throughout the farm.",NON-EVENT
"Properly sanitize any personal belongings such as shoes, strollers and clothing to kill germs that might have been transferred through contact with animals, their bedding or surroundings.",EVENT
"Protect yourself from bug bites by using repellent on skin not covered by clothes or shoes. Check for ticks after you've been outdoors. It's important to remember that anyone can become sick from a zoonotic disease, including healthy people. However, some people may be more at risk than others and should take steps to protect themselves or family members. These people are more likely than others to get really sick, and even die, from infection with certain diseases. These groups of people include: Children younger than 5 Adults older than 65 People with weakened immune systems Buy Photography Pass",NON-EVENT
PETTING FARM & ZOO. PONY RIDES. FAMILY FUN PARK. NATURE & WILDLIFE TRAILS. FARMtastic EVENTS. TULIPS. STRAWBERRIES. SUNFLOWERS. PUMPKINS. LIVESTOCK PRODUCER.,EVENT
Lucky Ladd Farms,NON-EVENT
4306 Rocky Glade Rd,EVENT
"Eagleville, TN 37060",NON-EVENT
(615) 274-3786,EVENT
| Email Us Hours of Operation: Admission ends 1-hour prior to closing. Join Mailing List: Be the first to know! Receive information about upcoming events and exclusive offers! Quicklinks: Ticket Pricing Group Rates Farm Attractions Ask Question Join Our Team Request Donation Notifications regarding weather related closings are posted on our information hotline and Facebook page as they occur. We encourage you to check before you come if it has recently rained or if rain is forecast for our area. Buy tickets online in advance. Ticket availability is not guaranteed at the gate.,NON-EVENT
"© 2025 Lucky Ladd Farms, Inc.",EVENT
Liability Warnings | Privacy Policy Petting Farm & Zoo | Pony Rides | Family Fun Park | Wildlife Trails | Bakery & Gift Barn Tulip Farm | Strawberry Farm | Sunflower Farm | Pumpkin Patch | Corn Maze,NON-EVENT
Christmas Events,EVENT
PLAN A VISIT Ticket Options Admission Tickets Season Passes Photography Pass Gift Certificates Hours & Directions Dining Festivals & Events Farm Field Experiences Pick-Your-Own Tulip Flower Farm Strawberry Patch Pick-Your-Own Sunflower Farm Pumpkin Patch Livestock Sales Attractions Fun Park Attractions,NON-EVENT
Zoo Animals & Wildlife,EVENT
Petting Farm Pony Rides Keeper Talks,NON-EVENT
Cedar Glade Nature Trails,EVENT
Butterfly House Corn Maze Shopping Gift Barn Bakery Helpful Information FAQ's Farm Manners TN Liability Disclosures Educational Programs Guided Field Trips Self-Guided Field Trips Homeschool Day Field Trips Zoo To You - Outreach Host Your Event,NON-EVENT
Host a Party,EVENT
Rent a Pavilion Company Picnics Client Appreciation Day,NON-EVENT
Summer Camp,EVENT
Scout Programs THINGS TO DO,NON-EVENT
"Petting Farm, Wildlife, & Zoo Animals",EVENT
Lucky's Barnyard Petting Farm,NON-EVENT
Zoo & Wildlife Exhibits,EVENT
Pony rides Animal Encounter Experiences Animal Keeper Talks,NON-EVENT
Classroom Outreach Mobile Program,EVENT
Farm Park Attractions Fun Park Activities Cedar Glade Trails Corn Maze Authentic Farm Experiences You-Pick Tulips Strawberry Patch You-Pick Sunflowers Pumpkin Patch Livestock Sales,NON-EVENT
Christmas Events,EVENT
"Holly Jolly Festival of Lights Cookies & Cocoa with Santa Shopping Gift Barn Bakery Makers Market & Kids Market View List of Upcoming Festivals, Events, and Experiences... MORE",NON-EVENT
Adult Tours Summer Camp,EVENT
Scout Programs Plan Your Event Parties Pavilion Rentals Company & Group Picnics Client Appreciation Days Field Trips Guided Groups Self-Guided Groups Homeschool Days,NON-EVENT
Classroom Outreach Mobile Program,EVENT
PLAN A VISIT Ticket Options Admission Tickets Season Passes Photography Pass Gift Certificates Hours & Directions Dining Festivals & Events Helpful Information FAQ's Manners & Policies TN Liability Disclosures Host Your Event,NON-EVENT
Host a Party,EVENT
Rent a Pavilion Company Picnics Client Appreciation Day,NON-EVENT
Summer Camp,EVENT
Scout Programs THINGS TO DO Festivals & Events Farm Field Experiences Pick-Your-Own Tulip Flower Farm Strawberry Patch Pick-Your-Own Sunflower Farm Pumpkin Patch Livestock Sales Attractions Fun Park Attractions,NON-EVENT
Zoo Animals & Wildlife,EVENT
Petting Farm Pony Rides Animal Encounter Experiences Keeper Talks,NON-EVENT
Cedar Glade Nature Trails,EVENT
Butterfly House Corn Maze Holly Jolly Festival of Lights Cookies & Cocoa with Santa Shopping Gift Barn Bakery Makers Market & Kids Market Educational Programs Guided Field Trips Self-Guided Field Trips Homeschool Day Field Trips Zoo To You - Outreach CONTACT US Ask a Question Join Our Team Request Donation BUY TICKETS Tennessee Butterfly Experience Nashville's Immersive Butterfly Encounter Experience A New Butterfly Experience in Tennessee TICKETS AVAILABLE ONLINE OR AT GATE Butterfly Encounters & Releases,NON-EVENT
June 19 through July 27,EVENT
"Step into a world of enchantment at Lucky Ladd Farms' Butterfly Festival! Immerse yourself in the mesmerizing beauty of these delicate creatures as you embark on an unforgettable Butterfly Experience. Prepare to be captivated by hundreds of butterflies fluttering around, providing a breathtaking spectacle that will leave you in awe. Our immersive Butterfly Encounter allows you to get up close and personal with these magnificent creatures. Observe their intricate patterns, vibrant colors, and graceful flight as they dance through the air. A visit to our butterfly house is included with admission during the Butterfly Festival. A highlight is sure to be our thrilling LIVE Butterfly Releases. Be part of the magic as we introduce a variety butterfly species into our flower fields. Releases are held daily so you can be a part of setting these regal pollinators free. It's an experience that will fill your heart with wonder and delight.	To ensure your participation in the butterfly releases, butterflies are available for purchase in advance through our convenient online ticketing site. Please note that a limited number of butterflies will be sold on-site, however, we cannot guarantee availability so we encourage you to pre order to avoid disappointment. Kindly note that admission to the farm is not included and must be purchased separately to participate in this incredible event. Inside our butterfly house, you'll have the extraordinary opportunity to be in close proximity to a variety of butterfly species. Marvel at their grace and delicate beauty as you witness them in all their splendor. You can enhance your butterfly encounter with the purchase of a nectar stick which they love to feed on. Our knowledgeable experts will be on hand inside the house, ready to answer all your questions and share fascinating insights about the butterflies. You'll even have a chance to see adorable baby caterpillars and learn about the wondrous life cycle of these fascinating beauties. Don't miss out on this unforgettable experience with butterflies at Lucky Ladd Farms' Butterfly Festival. Book your tickets online now and prepare to be swept away by the enchanting world of these marvelous creatures. Butterfly Experience Add-On Pricing Release a Butterfly - $6 Feed a Butterfly - $2 Butterfly Release Daily Thursday ~ Saturday:",NON-EVENT
12:00 PM,EVENT
Sunday:,NON-EVENT
2:00 PM The Tennessee Butterfly Experience is offered June 19 - July 27,EVENT
Buy Tickets Now! Advance ticket purchase strongly recommended. Ticket availability is not guaranteed at the gate. Season Pass Members do not require advance reservations and may purchase butterflies to release on-site.,NON-EVENT
PETTING FARM & ZOO. PONY RIDES. FAMILY FUN PARK. NATURE & WILDLIFE TRAILS. FARMtastic EVENTS. TULIPS. STRAWBERRIES. SUNFLOWERS. PUMPKINS. LIVESTOCK PRODUCER.,EVENT
Lucky Ladd Farms,NON-EVENT
4306 Rocky Glade Rd,EVENT
"Eagleville, TN 37060",NON-EVENT
(615) 274-3786,EVENT
| Email Us Hours of Operation: Admission ends 1-hour prior to closing. Join Mailing List: Be the first to know! Receive information about upcoming events and exclusive offers! Quicklinks: Ticket Pricing Group Rates Farm Attractions Ask Question Join Our Team Request Donation Notifications regarding weather related closings are posted on our information hotline and Facebook page as they occur. We encourage you to check before you come if it has recently rained or if rain is forecast for our area. Buy tickets online in advance. Ticket availability is not guaranteed at the gate.,NON-EVENT
"© 2025 Lucky Ladd Farms, Inc.",EVENT
Liability Warnings | Privacy Policy Petting Farm & Zoo | Pony Rides | Family Fun Park | Wildlife Trails | Bakery & Gift Barn Tulip Farm | Strawberry Farm | Sunflower Farm | Pumpkin Patch | Corn Maze,NON-EVENT
Christmas Events,EVENT
PLAN A VISIT Ticket Options Admission Tickets Season Passes Photography Pass Gift Certificates Hours & Directions Dining Festivals & Events Farm Field Experiences Pick-Your-Own Tulip Flower Farm Strawberry Patch Pick-Your-Own Sunflower Farm Pumpkin Patch Livestock Sales Attractions Fun Park Attractions,NON-EVENT
Zoo Animals & Wildlife,EVENT
Petting Farm Pony Rides Keeper Talks,NON-EVENT
Cedar Glade Nature Trails,EVENT
Butterfly House Corn Maze Shopping Gift Barn Bakery Helpful Information FAQ's Farm Manners TN Liability Disclosures Educational Programs Guided Field Trips Self-Guided Field Trips Homeschool Day Field Trips Zoo To You - Outreach Host Your Event,NON-EVENT
Host a Party,EVENT
Rent a Pavilion Company Picnics Client Appreciation Day,NON-EVENT
Summer Camp,EVENT
Scout Programs THINGS TO DO,NON-EVENT
"Petting Farm, Wildlife, & Zoo Animals",EVENT
Lucky's Barnyard Petting Farm,NON-EVENT
Zoo & Wildlife Exhibits,EVENT
Pony rides Animal Encounter Experiences Animal Keeper Talks,NON-EVENT
Classroom Outreach Mobile Program,EVENT
Farm Park Attractions Fun Park Activities Cedar Glade Trails Corn Maze Authentic Farm Experiences You-Pick Tulips Strawberry Patch You-Pick Sunflowers Pumpkin Patch Livestock Sales,NON-EVENT
Christmas Events,EVENT
"Holly Jolly Festival of Lights Cookies & Cocoa with Santa Shopping Gift Barn Bakery Makers Market & Kids Market View List of Upcoming Festivals, Events, and Experiences... MORE",NON-EVENT
Adult Tours Summer Camp,EVENT
Scout Programs Plan Your Event Parties Pavilion Rentals Company & Group Picnics Client Appreciation Days Field Trips Guided Groups Self-Guided Groups Homeschool Days,NON-EVENT
Classroom Outreach Mobile Program,EVENT
PLAN A VISIT Ticket Options Admission Tickets Season Passes Photography Pass Gift Certificates Hours & Directions Dining Festivals & Events Helpful Information FAQ's Manners & Policies TN Liability Disclosures Host Your Event,NON-EVENT
Host a Party,EVENT
Rent a Pavilion Company Picnics Client Appreciation Day,NON-EVENT
Summer Camp,EVENT
Scout Programs THINGS TO DO Festivals & Events Farm Field Experiences Pick-Your-Own Tulip Flower Farm Strawberry Patch Pick-Your-Own Sunflower Farm Pumpkin Patch Livestock Sales Attractions Fun Park Attractions,NON-EVENT
Zoo Animals & Wildlife,EVENT
Petting Farm Pony Rides Animal Encounter Experiences Keeper Talks,NON-EVENT
Cedar Glade Nature Trails,EVENT
